plain_name,fyers_symbol,company_name
DELHIVERY,NSE:DELHIVERY-EQ,DELHIVERY
DEVYANI,NSE:DEVYANI-EQ,DEVYANI
DIACABS,NSE:DIACABS-EQ,DIACABS
DIVISLAB,NSE:DIVISLAB-EQ,DIVISLAB
DIXON,NSE:DIXON-EQ,DIXON
DLF,NSE:DLF-EQ,DLF
DMART,NSE:DMART-EQ,DMART
DOMS,NSE:DOMS-EQ,DOMS
DRREDDY,NSE:DRREDDY-EQ,DRREDDY
DYNAMATECH,NSE:DYNAMATECH-EQ,DYNAMATECH
ECLERX,NSE:ECLERX-EQ,ECLERX
EDELWEISS,NSE:EDELWEISS-EQ,EDELWEISS
EICHERMOT,NSE:EICHERMOT-EQ,EICHERMOT
EIDPARRY,NSE:EIDPARRY-EQ,EIDPARRY
EIHOTEL,NSE:EIHOTEL-EQ,EIHOTEL
ELECON,NSE:ELECON-EQ,ELECON
ELGIEQUIP,NSE:ELGIEQUIP-EQ,ELGIEQUIP
EMAMILTD,NSE:EMAMILTD-EQ,EMAMILTD
EMBDL,NSE:EMBDL-EQ,EMBDL
EMCURE,NSE:EMCURE-EQ,EMCURE
EMMVEE,NSE:EMMVEE-EQ,EMMVEE
ENDURANCE,NSE:ENDURANCE-EQ,ENDURANCE
ENGINERSIN,NSE:ENGINERSIN-EQ,ENGINERSIN
ENRIN,NSE:ENRIN-EQ,ENRIN
EQUITASBNK,NSE:EQUITASBNK-EQ,EQUITASBNK
ERIS,NSE:ERIS-EQ,ERIS
ESABINDIA,NSE:ESABINDIA-EQ,ESABINDIA
ESCORTS,NSE:ESCORTS-EQ,ESCORTS
ETERNAL,NSE:ETERNAL-EQ,ETERNAL
EUREKAFORB,NSE:EUREKAFORB-EQ,EUREKAFORB
EXIDEIND,NSE:EXIDEIND-EQ,EXIDEIND
FACT,NSE:FACT-EQ,FACT
FEDERALBNK,NSE:FEDERALBNK-EQ,FEDERALBNK
FINCABLES,NSE:FINCABLES-EQ,FINCABLES
FINEORG,NSE:FINEORG-EQ,FINEORG
FINPIPE,NSE:FINPIPE-EQ,FINPIPE
FIRSTCRY,NSE:FIRSTCRY-EQ,FIRSTCRY
FIVESTAR,NSE:FIVESTAR-EQ,FIVESTAR
FLUOROCHEM,NSE:FLUOROCHEM-EQ,FLUOROCHEM
FORCEMOT,NSE:FORCEMOT-EQ,FORCEMOT
FORTIS,NSE:FORTIS-EQ,FORTIS
FRACTAL,NSE:FRACTAL-EQ,FRACTAL
FSL,NSE:FSL-EQ,FSL
GABRIEL,NSE:GABRIEL-EQ,GABRIEL
GAIL,NSE:GAIL-EQ,GAIL
GALLANTT,NSE:GALLANTT-EQ,GALLANTT
GENUSPOWER,NSE:GENUSPOWER-EQ,GENUSPOWER
GESHIP,NSE:GESHIP-EQ,GESHIP
GICRE,NSE:GICRE-EQ,GICRE
GILLETTE,NSE:GILLETTE-EQ,GILLETTE
GLAND,NSE:GLAND-EQ,GLAND
GLAXO,NSE:GLAXO-EQ,GLAXO
GLENMARK,NSE:GLENMARK-EQ,GLENMARK
GMDCLTD,NSE:GMDCLTD-EQ,GMDCLTD
GMRAIRPORT,NSE:GMRAIRPORT-EQ,GMRAIRPORT
GMRP&UI,NSE:GMRP&UI-EQ,GMRP&UI
GODFRYPHLP,NSE:GODFRYPHLP-EQ,GODFRYPHLP
GODIGIT,NSE:GODIGIT-EQ,GODIGIT
GODREJAGRO,NSE:GODREJAGRO-EQ,GODREJAGRO
GODREJCP,NSE:GODREJCP-EQ,GODREJCP
GODREJIND,NSE:GODREJIND-EQ,GODREJIND
GODREJPROP,NSE:GODREJPROP-EQ,GODREJPROP
GPIL,NSE:GPIL-EQ,GPIL
GRANULES,NSE:GRANULES-EQ,GRANULES
GRAPHITE,NSE:GRAPHITE-EQ,GRAPHITE
GRASIM,NSE:GRASIM-EQ,GRASIM
GRAVITA,NSE:GRAVITA-EQ,GRAVITA
GRINDWELL,NSE:GRINDWELL-EQ,GRINDWELL
GRINFRA,NSE:GRINFRA-EQ,GRINFRA
GROWW,NSE:GROWW-EQ,GROWW
GRSE,NSE:GRSE-EQ,GRSE
GRWRHITECH,NSE:GRWRHITECH-EQ,GRWRHITECH
GSPL,NSE:GSPL-EQ,GSPL
GUJGASLTD,NSE:GUJGASLTD-EQ,GUJGASLTD
GVT&D,NSE:GVT&D-EQ,GVT&D
HAL,NSE:HAL-EQ,HAL
HAPPYFORGE,NSE:HAPPYFORGE-EQ,HAPPYFORGE
HATSUN,NSE:HATSUN-EQ,HATSUN
HAVELLS,NSE:HAVELLS-EQ,HAVELLS
HBLENGINE,NSE:HBLENGINE-EQ,HBLENGINE
HCG,NSE:HCG-EQ,HCG
HCLTECH,NSE:HCLTECH-EQ,HCLTECH
HDBFS,NSE:HDBFS-EQ,HDBFS
HDFCAMC,NSE:HDFCAMC-EQ,HDFCAMC
HDFCBANK,NSE:HDFCBANK-EQ,HDFCBANK
HDFCLIFE,NSE:HDFCLIFE-EQ,HDFCLIFE
HEG,NSE:HEG-EQ,HEG
HEROMOTOCO,NSE:HEROMOTOCO-EQ,HEROMOTOCO
HFCL,NSE:HFCL-EQ,HFCL
HINDALCO,NSE:HINDALCO-EQ,HINDALCO
HINDCOPPER,NSE:HINDCOPPER-EQ,HINDCOPPER
HINDPETRO,NSE:HINDPETRO-EQ,HINDPETRO
HINDUNILVR,NSE:HINDUNILVR-EQ,HINDUNILVR
HINDZINC,NSE:HINDZINC-EQ,HINDZINC
HOMEFIRST,NSE:HOMEFIRST-EQ,HOMEFIRST
HONASA,NSE:HONASA-EQ,HONASA
HONAUT,NSE:HONAUT-EQ,HONAUT
HSCL,NSE:HSCL-EQ,HSCL
HUDCO,NSE:HUDCO-EQ,HUDCO
HYUNDAI,NSE:HYUNDAI-EQ,HYUNDAI
ICICIAMC,NSE:ICICIAMC-EQ,ICICIAMC
ICICIBANK,NSE:ICICIBANK-EQ,ICICIBANK
ICICIGI,NSE:ICICIGI-EQ,ICICIGI
ICICIPRULI,NSE:ICICIPRULI-EQ,ICICIPRULI
IDBI,NSE:IDBI-EQ,IDBI
IDEA,NSE:IDEA-EQ,IDEA
IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,IDFCFIRSTB
IEX,NSE:IEX-EQ,IEX
IFCI,NSE:IFCI-EQ,IFCI
IGIL,NSE:IGIL-EQ,IGIL
IGL,NSE:IGL-EQ,IGL
IIFL,NSE:IIFL-EQ,IIFL
IIFLCAPS,NSE:IIFLCAPS-EQ,IIFLCAPS
IKS,NSE:IKS-EQ,IKS
IMFA,NSE:IMFA-EQ,IMFA
INDGN,NSE:INDGN-EQ,INDGN
INDHOTEL,NSE:INDHOTEL-EQ,INDHOTEL
INDIACEM,NSE:INDIACEM-EQ,INDIACEM
INDIAMART,NSE:INDIAMART-EQ,INDIAMART
INDIANB,NSE:INDIANB-EQ,INDIANB
INDIASHLTR,NSE:INDIASHLTR-EQ,INDIASHLTR
INDIGO,NSE:INDIGO-EQ,INDIGO
INDUSINDBK,NSE:INDUSINDBK-EQ,INDUSINDBK
INDUSTOWER,NSE:INDUSTOWER-EQ,INDUSTOWER
INFY,NSE:INFY-EQ,INFY
INGERRAND,NSE:INGERRAND-EQ,INGERRAND
INOXINDIA,NSE:INOXINDIA-EQ,INOXINDIA
INOXWIND,NSE:INOXWIND-EQ,INOXWIND
INTELLECT,NSE:INTELLECT-EQ,INTELLECT
IOB,NSE:IOB-EQ,IOB
IOC,NSE:IOC-EQ,IOC
IPCALAB,NSE:IPCALAB-EQ,IPCALAB
IRB,NSE:IRB-EQ,IRB
IRCON,NSE:IRCON-EQ,IRCON
IRCTC,NSE:IRCTC-EQ,IRCTC
IREDA,NSE:IREDA-EQ,IREDA
IRFC,NSE:IRFC-EQ,IRFC
ITC,NSE:ITC-EQ,ITC
ITCHOTELS,NSE:ITCHOTELS-EQ,ITCHOTELS
ITI,NSE:ITI-EQ,ITI
J&KBANK,NSE:J&KBANK-EQ,J&KBANK
JAINREC,NSE:JAINREC-EQ,JAINREC
JAYNECOIND,NSE:JAYNECOIND-EQ,JAYNECOIND
JBCHEPHARM,NSE:JBCHEPHARM-EQ,JBCHEPHARM
JBMA,NSE:JBMA-EQ,JBMA
JINDALSAW,NSE:JINDALSAW-EQ,JINDALSAW
JINDALSTEL,NSE:JINDALSTEL-EQ,JINDALSTEL
JIOFIN,NSE:JIOFIN-EQ,JIOFIN
JKCEMENT,NSE:JKCEMENT-EQ,JKCEMENT
JKLAKSHMI,NSE:JKLAKSHMI-EQ,JKLAKSHMI
JKTYRE,NSE:JKTYRE-EQ,JKTYRE
JLHL,NSE:JLHL-EQ,JLHL
JMFINANCIL,NSE:JMFINANCIL-EQ,JMFINANCIL
JPPOWER,NSE:JPPOWER-EQ,JPPOWER
JSL,NSE:JSL-EQ,JSL
JSLL,NSE:JSLL-EQ,JSLL
JSWCEMENT,NSE:JSWCEMENT-EQ,JSWCEMENT
JSWDULUX,NSE:JSWDULUX-EQ,JSWDULUX
JSWENERGY,NSE:JSWENERGY-EQ,JSWENERGY
JSWHL,NSE:JSWHL-EQ,JSWHL
JSWINFRA,NSE:JSWINFRA-EQ,JSWINFRA
JSWSTEEL,NSE:JSWSTEEL-EQ,JSWSTEEL
JUBLFOOD,NSE:JUBLFOOD-EQ,JUBLFOOD
JUBLINGREA,NSE:JUBLINGREA-EQ,JUBLINGREA
JUBLPHARMA,NSE:JUBLPHARMA-EQ,JUBLPHARMA
JWL,NSE:JWL-EQ,JWL
JYOTHYLAB,NSE:JYOTHYLAB-EQ,JYOTHYLAB
JYOTICNC,NSE:JYOTICNC-EQ,JYOTICNC
KAJARIACER,NSE:KAJARIACER-EQ,KAJARIACER
KALYANKJIL,NSE:KALYANKJIL-EQ,KALYANKJIL
KAMAHOLD,NSE:KAMAHOLD-EQ,KAMAHOLD
KANSAINER,NSE:KANSAINER-EQ,KANSAINER
KARURVYSYA,NSE:KARURVYSYA-EQ,KARURVYSYA
KAYNES,NSE:KAYNES-EQ,KAYNES
KEC,NSE:KEC-EQ,KEC
KEI,NSE:KEI-EQ,KEI
KFINTECH,NSE:KFINTECH-EQ,KFINTECH
KIMS,NSE:KIMS-EQ,KIMS
KIOCL,NSE:KIOCL-EQ,KIOCL
KIRLOSBROS,NSE:KIRLOSBROS-EQ,KIRLOSBROS
KIRLOSENG,NSE:KIRLOSENG-EQ,KIRLOSENG
KIRLPNU,NSE:KIRLPNU-EQ,KIRLPNU
KOTAKBANK,NSE:KOTAKBANK-EQ,KOTAKBANK
KPIGREEN,NSE:KPIGREEN-EQ,KPIGREEN
KPIL,NSE:KPIL-EQ,KPIL
KPITTECH,NSE:KPITTECH-EQ,KPITTECH
KPRMILL,NSE:KPRMILL-EQ,KPRMILL
KRBL,NSE:KRBL-EQ,KRBL
KRN,NSE:KRN-EQ,KRN
KSB,NSE:KSB-EQ,KSB
KTKBANK,NSE:KTKBANK-EQ,KTKBANK
LALPATHLAB,NSE:LALPATHLAB-EQ,LALPATHLAB
LAURUSLABS,NSE:LAURUSLABS-EQ,LAURUSLABS
LEMONTREE,NSE:LEMONTREE-EQ,LEMONTREE
LENSKART,NSE:LENSKART-EQ,LENSKART
LGEINDIA,NSE:LGEINDIA-EQ,LGEINDIA
LICHSGFIN,NSE:LICHSGFIN-EQ,LICHSGFIN
LICI,NSE:LICI-EQ,LICI
LINDEINDIA,NSE:LINDEINDIA-EQ,LINDEINDIA
LLOYDSENGG,NSE:LLOYDSENGG-EQ,LLOYDSENGG
LLOYDSENT,NSE:LLOYDSENT-EQ,LLOYDSENT
LLOYDSME,NSE:LLOYDSME-EQ,LLOYDSME
LMW,NSE:LMW-EQ,LMW
LODHA,NSE:LODHA-EQ,LODHA
LT,NSE:LT-EQ,LT
LTF,NSE:LTF-EQ,LTF
LTFOODS,NSE:LTFOODS-EQ,LTFOODS
LTM,NSE:LTM-EQ,LTM
LTTS,NSE:LTTS-EQ,LTTS
LUMAXTECH,NSE:LUMAXTECH-EQ,LUMAXTECH
LUPIN,NSE:LUPIN-EQ,LUPIN
M&M,NSE:M&M-EQ,M&M
M&MFIN,NSE:M&MFIN-EQ,M&MFIN
MACPOWER,NSE:MACPOWER-EQ,MACPOWER
MAHABANK,NSE:MAHABANK-EQ,MAHABANK
MAHSCOOTER,NSE:MAHSCOOTER-EQ,MAHSCOOTER
MAHSEAMLES,NSE:MAHSEAMLES-EQ,MAHSEAMLES
MANAPPURAM,NSE:MANAPPURAM-EQ,MANAPPURAM
MANKIND,NSE:MANKIND-EQ,MANKIND
MANORAMA,NSE:MANORAMA-EQ,MANORAMA
MANYAVAR,NSE:MANYAVAR-EQ,MANYAVAR
MARICO,NSE:MARICO-EQ,MARICO
MARKSANS,NSE:MARKSANS-EQ,MARKSANS
MARUTI,NSE:MARUTI-EQ,MARUTI
MAXHEALTH,NSE:MAXHEALTH-EQ,MAXHEALTH
MAZDOCK,NSE:MAZDOCK-EQ,MAZDOCK
MCX,NSE:MCX-EQ,MCX
MEDANTA,NSE:MEDANTA-EQ,MEDANTA
MEDPLUS,NSE:MEDPLUS-EQ,MEDPLUS
MEESHO,NSE:MEESHO-EQ,MEESHO
METROBRAND,NSE:METROBRAND-EQ,METROBRAND
METROPOLIS,NSE:METROPOLIS-EQ,METROPOLIS
MFSL,NSE:MFSL-EQ,MFSL
MGL,NSE:MGL-EQ,MGL
MINDACORP,NSE:MINDACORP-EQ,MINDACORP
MMTC,NSE:MMTC-EQ,MMTC
MOTHERSON,NSE:MOTHERSON-EQ,MOTHERSON
MOTILALOFS,NSE:MOTILALOFS-EQ,MOTILALOFS
MPHASIS,NSE:MPHASIS-EQ,MPHASIS
MRF,NSE:MRF-EQ,MRF
MRPL,NSE:MRPL-EQ,MRPL
MSUMI,NSE:MSUMI-EQ,MSUMI
MTARTECH,NSE:MTARTECH-EQ,MTARTECH
MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,MUTHOOTFIN
NAM-INDIA,NSE:NAM-INDIA-EQ,NAM-INDIA
NATCOPHARM,NSE:NATCOPHARM-EQ,NATCOPHARM
NATIONALUM,NSE:NATIONALUM-EQ,NATIONALUM
NAUKRI,NSE:NAUKRI-EQ,NAUKRI
NAVA,NSE:NAVA-EQ,NAVA
NAVINFLUOR,NSE:NAVINFLUOR-EQ,NAVINFLUOR
NAZARA,NSE:NAZARA-EQ,NAZARA
NBCC,NSE:NBCC-EQ,NBCC
NCC,NSE:NCC-EQ,NCC
NESCO,NSE:NESCO-EQ,NESCO
NESTLEIND,NSE:NESTLEIND-EQ,NESTLEIND
NETWEB,NSE:NETWEB-EQ,NETWEB
NEULANDLAB,NSE:NEULANDLAB-EQ,NEULANDLAB
NH,NSE:NH-EQ,NH
NHPC,NSE:NHPC-EQ,NHPC
NIACL,NSE:NIACL-EQ,NIACL
NIVABUPA,NSE:NIVABUPA-EQ,NIVABUPA
NLCINDIA,NSE:NLCINDIA-EQ,NLCINDIA
NMDC,NSE:NMDC-EQ,NMDC
NSLNISP,NSE:NSLNISP-EQ,NSLNISP
NTPC,NSE:NTPC-EQ,NTPC
NTPCGREEN,NSE:NTPCGREEN-EQ,NTPCGREEN
NUVAMA,NSE:NUVAMA-EQ,NUVAMA
NUVOCO,NSE:NUVOCO-EQ,NUVOCO
NYKAA,NSE:NYKAA-EQ,NYKAA
OBEROIRLTY,NSE:OBEROIRLTY-EQ,OBEROIRLTY
OFSS,NSE:OFSS-EQ,OFSS
OIL,NSE:OIL-EQ,OIL
OLAELEC,NSE:OLAELEC-EQ,OLAELEC
OLECTRA,NSE:OLECTRA-EQ,OLECTRA
ONESOURCE,NSE:ONESOURCE-EQ,ONESOURCE
ONGC,NSE:ONGC-EQ,ONGC
ORKLAINDIA,NSE:ORKLAINDIA-EQ,ORKLAINDIA
PAGEIND,NSE:PAGEIND-EQ,PAGEIND
PARADEEP,NSE:PARADEEP-EQ,PARADEEP
PARKHOSPS,NSE:PARKHOSPS-EQ,PARKHOSPS
PATANJALI,NSE:PATANJALI-EQ,PATANJALI
PAYTM,NSE:PAYTM-EQ,PAYTM
PCBL,NSE:PCBL-EQ,PCBL
PCJEWELLER,NSE:PCJEWELLER-EQ,PCJEWELLER
PERSISTENT,NSE:PERSISTENT-EQ,PERSISTENT
PETRONET,NSE:PETRONET-EQ,PETRONET
PFC,NSE:PFC-EQ,PFC
PFIZER,NSE:PFIZER-EQ,PFIZER
PFOCUS,NSE:PFOCUS-EQ,PFOCUS
PGEL,NSE:PGEL-EQ,PGEL
PGHH,NSE:PGHH-EQ,PGHH
PGHL,NSE:PGHL-EQ,PGHL
PHOENIXLTD,NSE:PHOENIXLTD-EQ,PHOENIXLTD
PIDILITIND,NSE:PIDILITIND-EQ,PIDILITIND
PIIND,NSE:PIIND-EQ,PIIND
PINELABS,NSE:PINELABS-EQ,PINELABS
PNB,NSE:PNB-EQ,PNB
PNBHOUSING,NSE:PNBHOUSING-EQ,PNBHOUSING
PNGJL,NSE:PNGJL-EQ,PNGJL
POLICYBZR,NSE:POLICYBZR-EQ,POLICYBZR
POLYCAB,NSE:POLYCAB-EQ,POLYCAB
POLYMED,NSE:POLYMED-EQ,POLYMED
POONAWALLA,NSE:POONAWALLA-EQ,POONAWALLA
POWERGRID,NSE:POWERGRID-EQ,POWERGRID
POWERINDIA,NSE:POWERINDIA-EQ,POWERINDIA
POWERMECH,NSE:POWERMECH-EQ,POWERMECH
PPLPHARMA,NSE:PPLPHARMA-EQ,PPLPHARMA
PREMIERENE,NSE:PREMIERENE-EQ,PREMIERENE
PRESTIGE,NSE:PRESTIGE-EQ,PRESTIGE
PRIVISCL,NSE:PRIVISCL-EQ,PRIVISCL
PRUDENT,NSE:PRUDENT-EQ,PRUDENT
PSB,NSE:PSB-EQ,PSB
PTCIL,NSE:PTCIL-EQ,PTCIL
PVRINOX,NSE:PVRINOX-EQ,PVRINOX
PWL,NSE:PWL-EQ,PWL
